Variable,Selected
B_1_mean,100.0
B_9_mean,100.0
B_7_median,100.0
B_30_mean,100.0
B_23_median,100.0
B_33_mean,100.0
B_5_data_range,100.0
B_11_correlation,100.0
B_5_median,100.0
B_5_mean,100.0
B_4_correlation,100.0
B_23_mean,100.0
B_20_correlation,100.0
B_1_median,100.0
B_33_median,100.0
B_3_correlation,100.0
B_7_mean,100.0
B_9_median,100.0
B_3_data_range,100.0
B_3_std,100.0
B_3_mean,100.0
B_20_median,100.0
B_9_correlation,100.0
B_11_median,100.0
B_1_correlation,100.0
B_18_mean,100.0
B_18_median,100.0
B_18_correlation,100.0
B_14_correlation,100.0
B_9_std,90.0
B_9_data_range,90.0
B_5_std,90.0
B_5_iqr,90.0
B_3_iqr,90.0
B_3_median,90.0
B_2_std,90.0
B_6_median,80.0
B_12_median,80.0
B_23_correlation,70.0
B_4_median,70.0
B_7_correlation,70.0
B_4_mean,70.0
B_11_mean,70.0
B_12_mean,70.0
B_23_std,60.0
B_17_median,60.0
B_33_std,60.0
B_20_mean,60.0
B_38_median,60.0
B_33_correlation,60.0
B_2_correlation,60.0
B_19_mean,50.0
B_13_count,50.0
B_26_count,50.0
B_2_data_range,50.0
B_30_data_range,50.0
B_6_count,50.0
B_23_data_range,50.0
B_7_std,50.0
B_14_std,40.0
B_2_iqr,40.0
B_38_count,40.0
B_14_data_range,40.0
B_19_data_range,40.0
B_20_count,40.0
B_30_std,40.0
B_40_count,40.0
B_9_iqr,40.0
B_23_iqr,30.0
B_4_std,30.0
B_1_std,30.0
B_25_count,30.0
B_33_iqr,30.0
B_7_iqr,30.0
B_27_count,30.0
B_7_data_range,30.0
B_20_std,30.0
B_6_correlation,30.0
B_16_correlation,30.0
B_4_data_range,30.0
B_30_count,30.0
B_16_count,30.0
B_33_count,30.0
B_41_count,30.0
B_37_count,30.0
B_20_iqr,20.0
B_15_count,20.0
B_33_data_range,20.0
B_19_std,20.0
B_8_count,20.0
B_19_count,20.0
B_19_correlation,20.0
B_19_iqr,20.0
B_30_median,20.0
B_39_count,20.0
B_19_median,20.0
B_29_count,20.0
B_12_iqr,20.0
B_13_mean,20.0
B_13_median,20.0
B_14_mean,20.0
B_14_median,20.0
B_12_std,20.0
B_12_data_range,20.0
B_4_iqr,20.0
B_1_iqr,20.0
B_1_data_range,20.0
B_17_data_range,20.0
B_22_count,20.0
B_5_correlation,10.0
B_17_count,10.0
B_6_data_range,10.0
B_1_std.1,10.0
B_38_data_range,10.0
B_38_std,10.0
B_11_data_range,10.0
B_38_mean,10.0
B_2_count,10.0
B_11_iqr,10.0
B_38_correlation,10.0
B_30_correlation,10.0
B_12_correlation,10.0
B_18_iqr,10.0
B_30_iqr,10.0
B_13_data_range,10.0
B_13_iqr,10.0
B_13_correlation,10.0
B_14_iqr,10.0
B_15_median,10.0
B_15_correlation,10.0
B_16_mean,10.0
B_16_data_range,10.0
B_20_data_range,10.0
B_17_mean,10.0
B_17_iqr,10.0
B_3_count,10.0
B_16_iqr,0.0
B_42_correlation,0.0
B_42_iqr,0.0
B_6_iqr,0.0
B_13_std,0.0
B_15_mean,0.0
B_15_std,0.0
B_15_data_range,0.0
B_15_iqr,0.0
B_16_median,0.0
B_16_std,0.0
B_17_std,0.0
B_17_correlation,0.0
B_18_std,0.0
B_18_data_range,0.0
B_38_iqr,0.0
B_42_mean,0.0
B_42_median,0.0
B_42_std,0.0
B_42_data_range,0.0
B_42_count,0.0
