Variable,Selected
S_6_iqr,80.0
S_8_iqr,60.0
S_3_avg_pct_change,60.0
S_13_std,60.0
S_5_avg_pct_change,60.0
S_8_sum,40.0
S_13_iqr,40.0
P_4_sum,40.0
S_13_data_range,40.0
P_2_correlation,40.0
S_6_mad,40.0
S_5_correlation,20.0
S_13_mad,20.0
P_2_median,20.0
S_6_mean,20.0
S_6_median,20.0
S_3_sum,20.0
S_13_sum,20.0
S_8_mean,20.0
S_8_median,20.0
S_8_correlation,20.0
S_3_iqr,20.0
S_3_median,20.0
S_25_correlation,20.0
S_27_data_range,20.0
P_4_data_range,20.0
P_4_median,20.0
P_4_mean,20.0
S_25_std,20.0
P_3_iqr,20.0
S_13_correlation,20.0
S_25_iqr,20.0
P_3_median,20.0
S_8_avg_pct_change,0.0
S_27_avg_pct_change,0.0
S_27_iqr,0.0
S_27_count,0.0
S_13_mean,0.0
S_25_count,0.0
S_25_avg_pct_change,0.0
S_25_data_range,0.0
S_25_mad,0.0
S_25_sum,0.0
S_25_mean,0.0
S_13_avg_pct_change,0.0
P_2_mean,0.0
S_6_sum,0.0
S_8_data_range,0.0
P_3_avg_pct_change,0.0
P_2_sum,0.0
P_2_count,0.0
P_2_data_range,0.0
P_2_iqr,0.0
P_2_avg_pct_change,0.0
P_3_mean,0.0
P_3_sum,0.0
P_3_count,0.0
P_3_data_range,0.0
P_3_correlation,0.0
S_6_correlation,0.0
P_4_iqr,0.0
P_4_avg_pct_change,0.0
P_4_correlation,0.0
S_3_data_range,0.0
S_3_correlation,0.0
S_5_data_range,0.0
S_5_iqr,0.0
S_6_data_range,0.0
S_6_avg_pct_change,0.0
S_27_correlation,0.0
