feature,imp
D_44_median,0.06991431727672445
D_44_mean,0.06771490824650196
D_44_max,0.06266090973386754
D_75_max,0.04318045002748718
D_75_mean,0.039666839714409076
D_78_max,0.03598748993586008
D_78_mean,0.035169572223149134
D_78_range,0.034218087869495546
D_44_std,0.03366734039656425
D_75_median,0.03279070166068346
D_78_std,0.031007083635123483
D_74_mean,0.02751102960350215
D_44_range,0.02422693444562493
D_44_min,0.023409288516535853
D_84_mean,0.02279887188050602
D_74_max,0.02106104436638623
D_41_range,0.018238831408613827
D_75_min,0.017519528230141763
D_44_IQR,0.017314166403197405
D_84_range,0.016865927905073116
D_41_std,0.01628735956494027
D_39_max,0.015312970213487978
D_84_max,0.014932103922419199
D_84_std,0.01369346413806483
D_74_median,0.013205154251397733
D_52_median,0.012985888568926709
D_58_median,0.012916534460612788
D_65_max,0.012347477748744385
D_58_max,0.01217461001307158
D_58_mean,0.012102393667741605
D_41_max,0.01158912687528557
D_52_min,0.011494061635555391
D_65_range,0.010786510032101758
D_65_mean,0.010179334539201754
D_39_range,0.009825977635505674
D_52_mean,0.009509412048310044
D_39_std,0.009496078770151822
D_58_min,0.009018049333417674
D_52_max,0.00884542047396473
D_74_min,0.008697289690304857
D_41_mean,0.005328651922160925
D_78_IQR,0.004079248685430227
D_75_std,0.0037617979091725566
D_47_min,0.0034613317025000783
D_112_min,0.0031884528498876455
D_47_mean,0.00306573790084036
D_47_max,0.002918171347606761
D_47_median,0.0026771821267139546
D_75_range,0.00263993618800011
D_51_median,0.002236172861100478
D_70_max,0.0022119911197537555
D_51_mean,0.002159299052864676
D_89_max,0.0020675353691473495
D_72_max,0.0020092036319621902
D_70_std,0.0019652940950029953
D_70_mean,0.00195770134608164
D_72_mean,0.0019414372079140593
D_81_max,0.0019008592909810934
D_70_range,0.00182374820545133
D_89_std,0.0014493210898646005
D_120_last_0.0,0.0014090037497748137
D_74_std,0.0013629084981326906
D_58_IQR,0.0013204029055440363
D_54_min,0.0012584957621542567
D_74_range,0.0012487209524944141
D_72_std,0.0012040396703921782
D_70_median,0.0011819323454237665
D_120_last_1.0,0.0011724457618202864
D_128_min,0.00117119485193381
D_51_max,0.0011397806233209395
D_41_IQR,0.0011370751714029465
D_89_range,0.0011365408177906584
D_78_median,0.0011208872928233494
D_128_mean,0.0010848232230177405
D_81_mean,0.0010419639748221955
D_81_std,0.000971713427884988
D_79_max,0.0009402961838727803
D_65_IQR,0.0009114694450838134
D_89_mean,0.0009066900131054431
D_54_avg_pct_change,0.0008212477497434702
D_84_IQR,0.0007967348639002309
D_81_range,0.0007668484765560394
D_72_range,0.0006793077517740082
D_41_median,0.0006730495061962625
D_65_pct_values_above_mean,0.0006588000050201013
D_131_max,0.0006038132443363783
D_131_mean,0.0005202961643577005
D_60_max,0.00047548482227560755
D_51_min,0.0004583401155783996
D_60_median,0.0003906090427457148
D_75_IQR,0.0003897175452939125
D_54_range,0.00038927187242487746
D_128_max,0.00038149863692279703
D_74_IQR,0.00037615286664283116
D_60_mean,0.00037131000910516673
D_79_mean,0.0003645728617243734
D_58_std,0.00030590105794866445
D_54_mean,0.0003019645597997269
D_60_min,0.00029168918128899096
D_84_median,0.00028977872829074735
D_54_std,0.00023952448302325835
D_131_range,0.0002291958349564242
D_58_range,0.00022500305546856877
D_60_std,0.00017059208019367715
D_129_median,0.00016819464556285828
D_59_mean,0.00016250031105220262
D_71_median,0.00015480062570895925
D_114_last_1.0,0.00014893656605758566
D_129_min,0.00014622462246020873
D_59_median,0.0001426161260866719
D_45_range,0.00014247056244900456
D_70_min,0.00014222720115875153
D_131_median,0.00014190053782931904
D_71_max,0.00012441618320755803
D_133_range,0.00012202901652353621
