feature,imp
R_1_mean,0.15395154387096777
R_1_std,0.11193786186486696
R_1_max,0.09432862672200013
R_1_range,0.07976805548734586
R_1_last_value,0.07162195224814112
R_1_IQR,0.06575902204309732
R_10_mean,0.058953716609298046
R_10_max,0.04304864282995395
R_10_std,0.04197816348293733
R_10_range,0.03506922484716415
R_2_mean,0.03140994949335656
R_1_median,0.0196915706438578
R_2_last_value,0.01929297832334238
R_3_mean,0.016739315548650272
R_2_max,0.016076535647164412
R_2_std,0.015493069289563446
R_2_range,0.012690361782413145
R_1_pct_values_above_mean,0.010010416142584699
R_3_median,0.009192457208584299
R_6_mean,0.008843937459398517
R_3_max,0.006777745324978529
R_6_max,0.006365749699603717
R_6_last_value,0.006296881166429923
R_6_std,0.005601543306979034
R_4_mean,0.004464754891773859
R_6_range,0.004051636257418428
R_5_last_value,0.004021363557826688
R_16_mean,0.0039095843364089725
R_3_last_value,0.0035764072020099866
R_3_min,0.003476087855531225
R_5_mean,0.003363505584252296
R_4_max,0.0032300003121620603
R_7_last_value,0.0030498356921684054
R_10_pct_values_above_mean,0.0025721813454691856
R_4_last_value,0.0024286668302217923
R_5_range,0.002224703087124338
R_16_std,0.0020083227587768997
R_16_IQR,0.001966252729710279
R_3_range,0.0016378372915924078
R_5_max,0.0016092129803519355
R_8_mean,0.0015603439876688756
R_3_std,0.001528455970949442
R_4_range,0.0011441698895121467
R_10_last_value,0.0010713276400351325
R_5_std,0.0009792713407685853
R_11_mean,0.000972635329415204
R_7_max,0.000941959993612885
R_11_IQR,0.0007820055998321935
R_8_std,0.0006651761285143449
R_8_last_value,0.0003273368495568247
R_2_pct_values_above_mean,0.0002733640749312459
R_4_std,0.0002526021427084665
R_3_IQR,0.00019263472749393539
R_8_max,0.00018099621513701725
R_13_range,0.00017004976603053233
R_8_range,0.00015852697925404833
R_1_min,0.00012653011319029044
R_24_range,0.00010171930715596336
R_10_IQR,7.310280597865942e-05
R_23_std,8.117382776103715e-06
R_3_pct_values_above_mean,0.0
R_4_median,0.0
R_4_min,0.0
R_23_pct_values_above_mean,0.0
